id_video,titulo,dt_publicacao,id_canal,canal,dt_trending,cont_views,likes,dislikes,cont_comentarios,descricao,categoria
uCsK-ENkiyA,A PRIMEIRA CASA DO CACHORRINHO STEFAN ! - Vida de Maloucos #5,2022-05-06 21:30:04+00:00,UChXTQw_Ma_gYkNsp_a1iYTA,Vida de Maloucos,2022-05-14 00:00:00+00:00,415805,12572,0,189,A PRIMEIRA CASA DO CACHORRINHO STEFAN ! - Fran Japa,People & Blogs
9rYZC2cgqu0,"“Ninguém vai escolher função. Eu sou o Fazendeiro”, diz Rico ao delegar as tarefas | A Fazenda 13",2021-10-07 10:45:57+00:00,UCw4YGFtvDgOL09KrFpqj6kg,A Fazenda,2021-10-08 00:00:00+00:00,870181,48678,1079,13893,"Rico Melquiades já deu início ao seu mandato como Fazendeiro. O influenciador decidiu dar um recado para os peões antes de delegar as tarefas. “Ninguém vai escolher função. Eu sou o Fazendeiro”, disse o participante. Assine o https://www.playplus.com/ e tenha acesso à transmissão 24 horas em nove sinais exclusivos de A Fazenda 13.Inscreva-se no canal A Fazenda: http://r7.com/8IZb Site oficial: https://afazenda.r7.com/a-fazenda-13Assista às íntegras no PlayPlus: https://www.playplus.comTikTok: https://vm.tiktok.com/ZS5cTvgC/Facebook: https://www.facebook.com/AFazendaRecordInstagram: https://www.instagram.com/afazendarecordTwitter: https://twitter.com/afazendarecord#AFazenda13",Entertainment
k-amupfoQBE,Apex Legends | Stories from the Outlands – “Promise”,2020-10-26 15:00:10+00:00,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends,2020-11-01 00:00:00+00:00,3323775,174916,2303,18638,"Nearly a century ago, Dr. Mary Somers was hired to solve a cataclysmic energy crisis. Her search for answers would take her to the edge of the universe. Before Mary left Olympus, she promised her son she’d return. But was it a promise she’d be able to keep?Apex Legends™ is a free-to-play battle royale game where legendary characters battle for glory, fame, and fortune on the fringes of the Frontier. Play for free now on Xbox One, PS4, and Origin for PC. And play on Steam when Season 7 launches on November 4 !  Learn more about Apex Legends Season 7 – Ascension: http://x.ea.com/65921 Check out our YouTube channel: http://x.ea.com/56710.Follow us on Twitter: https://twitter.com/playapex.Follow us on Instagram: https://www.instagram.com/playapex/.#MeetHorizon #ApexSeason7 #ApexSeason7 #ApexLegends",Gaming
2tMYGARA80Y,O PRIMEIRO GOL COMO PROFISSIONAL EM TREINO! - ( A GRANDE CHANCE ) ep. 2,2021-01-08 21:00:00+00:00,UCMPPsRQg12IYk2V7vOfx-9A,Vosso Canal,2021-01-16 00:00:00+00:00,817027,85718,1259,1945,"SEJA SÓCIO TORCEDOR - https://sociobentao.com.br/INSTA SÃO BENTO - https://www.instagram.com/ecsaobento1913/TWITTER SÃO BENTO - https://twitter.com/ecsaobento1913Galera se liga!! Estreia dia 5 de Janeiro, terça-feira!! Às 18 horas!! (6 da tarde!)Galera o segundo dia de treino chegou e o Juninho já conseguiu fazer gol, se liga no golaço!!FACEBOOK VOSSO CANAL LIVE - https://bit.ly/3cq7BBT🔴 CANAL NOVO 🔴: https://www.youtube.com/channel/UC_spRk_FrMjMRddBt6FHgSg🔴 CANAL NOVO 🔴: https://www.youtube.com/channel/UCkGb7ja2s8cwLVmyht-Mm5w🔴 CANAL NOVO 🔴: https://www.youtube.com/channel/UCh4CpTrKqQH7QFdAQsb3XfQExperimente 1 mês grátis do banco de trilhas Epidemic Sound:  http://share.epidemicsound.com/vossocINSCREVA-SE: https://www.youtube.com/channel/UCMPPsRQg12IYk2V7vOfx-9A/videosemail para parcerias: vossocanal@adragencia.com.brSE QUISEREM MAIS ESSE TIPO DE VÍDEO ESTOUREM DE LIKE!!CURTA NOSSA NOVA PAGINA NO FACEBOOK: https://www.facebook.com/VossoCanal-1322530574487146/?ref=aymt_homepage_panelcanal do rezende: https://www.youtube.com/user/rezendeevilCOMPUTADOR DO VOSSO CANAL:https://www.youtube.com/watch?v=aT5GBmdPnCsSite: https://www.chipart.com.br instagram JUNINHO - https://www.instagram.com/juninhomanellaROSSINI - https://www.instagram.com/joaorossini7/twitter @vossocanal",Sports
oZAgfOAjMqY,Cesar Mc part. Djonga N*GUIN (Videoclipe Oficial),2021-09-08 20:30:10+00:00,UCqrFwa5vueOTzGZ7NSlnvlQ,PineappleStormTV,2021-09-15 00:00:00+00:00,688150,87275,291,2073,"Escute na sua plataforma preferida: https://ONErpm.link/DaiACesarOQueEDeCesarUma Realização Pineapple Storm Records.'Neguin'' é a terceira faixa do album de estreia de Cesar Mc, Dai a Cesar o que é de Cesar'.Música - NeguinLetra/Voz - Cesar Mc e DjongaProdução Musical - Tibery e Felipe ArtioliMixagem - Felipe ArtioliMasterização - Brendam DuffeyProdução Executiva - Paulo AlvarezRealização: GB LabDireção: Guilherme BrehmCodireção: Ana ValenteAssistência de direção: Jamile SelvaDireção de produção e produção executiva: Mariana Campitelli Assistência de produção: Luiza MontePlatô: Giulia PortellaDireção de fotografia: Gabe Gomez Assistente de câmera: Clara TinocoGaffer: Gabriel EscavaEletricistas: Mazinho Freitas e Elvis VieiraFotografia Still: Sofia Selvatice TourinhoMaking of: Mateus Ribeiro Amorim e Giliana Ribeiro MelettiDireção de arte: Tita IllidioConcepção do figurino: Sofia Selvatice TourinhoProdução de arte: Nath SantosMake: Robs MenezesEdição: Guilherme Brehm Colorista: Braion MarçalElenco de apoio:Ana GregórioJhean LimaJuliano ViannaJohnny AyresLettícia Eugenio Transporte: Gabriel Cartajena, JR Turismo e KekéCoordenador de segurança: Magno LopesSegurança: Benjamin Moraes e Rômulo Neves",Music
YdHVOT9kVYI,FIM DE THE KILLER IN PURPLE 2? CRIANÇAS VIRAM PIZZA NA FÁBRICA!,2021-12-05 15:00:30+00:00,UCs2AZhOnCTX0P4NtyNpuetQ,Febatista,2021-12-10 00:00:00+00:00,303144,12531,251,761,"Hoje vamos jogar The Killer in Purple 2! Conheça a nova atualização que trouxe mais de 20 animatronics, novos mistérios, segredos e novos locais!Jogo: https://gamejolt.com/games/KillerInPurple/507258Vire Membro ( Clube com Emotes Exclusivos do Canal)https://www.youtube.com/channel/UCs2AZhOnCTX0P4NtyNpuetQ/join⭐Faça parte da nossa comunidade!https://discord.com/febatista⭐ Redes Sociais do Canal:🐦Twitter: https://twitter.com/febatista💻 Facebook: https://www.facebook.com/FebatistaBR/📷Instagram: http://instagram.com/febatista📧Contato Comercial: contatofebatista@gmail.com",Gaming
1EYWhkcZzOs,"SIM, NÓS TERMINAMOS!! (O FIM)",2021-03-16 17:31:56+00:00,UChafmVG1vYyf8eW9IRgAeWA,Igor Wender,2021-03-25 00:00:00+00:00,993581,100079,14906,9563,Se você gostou e quer mais videos assim deixa um gostei ai ❤► MEU INSTAGRAM: @ofc.wendeer (http://instagram.com/ofc.wendeer)► Canal da tiffany: https://www.youtube.com/channel/UCCUTROqZZJY8yVzO_6K9bPQTRABALHOS E PARCERIAS VIA WPP 11 91124-9684,Entertainment
eRvObKZsMus,As impressionantes imagens da erupção de vulcão em Tonga,2022-01-17 14:35:21+00:00,UCthbIFAxbXTTQEC7EcQvP1Q,BBC News Brasil,2022-01-24 00:00:00+00:00,481139,14901,0,1022,"O vulcão Hunga Tonga-Hunga Haʻapai, que fica submerso no oceano Pacífico em Tonga, entrou em erupção no último dia 15 de janeiro, desencadeando um tsunami.Até o momento em que publicamos este vídeo, não há relatos de mortes, mas tanto as cinzas como as inundações deixaram boa parte do país incomunicável e sem luz.O vulcão fica a apenas cerca de 65 km da capital, Nuku'alofa.A erupção foi tão forte que pôde ser ouvida nos EUA, a milhares de quilômetros dali. No Peru, duas pessoas se afogaram por causa das ondas altas geradas pela atividade vulcânica no Pacífico.Confira, neste vídeo, imagens da erupção – de perto e do alto.Curtiu? Inscreva-se no canal da BBC News Brasil! E se quiser ler mais notícias, clique aqui: https://www.bbcbrasil.com#BBCNewsBrasil #Erupção #Tonga",News & Politics
tkTTqI3DXUM,Google Wifi: O Wi-fi que funciona.,2021-10-14 14:30:17+00:00,UCf2qcg2_6N5ltXnqu1-4Fmg,Google Brasil,2021-10-25 00:00:00+00:00,2757747,27639,3623,0,"O Wi-fi que funciona.Os pontos Google Wifi cobrem a casa inteira com uma conexão rápida, confiável e sem armazenamento em buffer em todos os ambientes.Seu sistema inteligente funciona nos bastidores para garantir a rapidez do Wi-Fi o tempo todo. Durante uma videochamada, você pode mudar de ambiente sem interrupção do sinal.Como a atualização é automática, você sempre terá recursos novos e sua rede estará sempre protegida.Use o app Google Home para criar e começar a usar sua rede em minutos, mesmo que você não entenda de tecnologia.Com permissões específicas, o pai e a mãe podem definir programações para gerenciar o tempo de uso, restringir certos tipos de conteúdo adulto e pausar o Wi-Fi em alguns dispositivos quando quiserem.Com o Google Wifi, é fácil priorizar dispositivos, conferir a velocidade da rede, configurar uma rede para visitantes e muito mais. Você faz tudo isso no app Google Home.Onde encontrar:Magazine Luiza -  https://www.magazineluiza.com.br/busca/google%20wifi/Fast Shop - https://www.fastshop.com.br/web/s/google%20wifiAmericanas - https://www.americanas.com.br/busca/google-wifiShoptime - https://www.shoptime.com.br/busca/google-wifiCasas Bahia - https://www.casasbahia.com.br/google-wifi/bExtra - https://www.extra.com.br/google-wifi/bPonto Frio - https://www.pontofrio.com.br/google-wifi/bSubmarino - https://www.submarino.com.br/busca/google-wifi",Science & Technology
6OgGB4Ueco8,Consigo Roubar Pedaços dos Mobs!,2022-04-20 14:00:01+00:00,UCEfGV5hx2VrXl4jOUnG0MRQ,Geleia,2022-04-26 00:00:00+00:00,1274145,51833,0,1008,🐲 Faça Download de Dragon City agora pelo link: https://dragoncity.onelink.me/DDHl/brapril22🐦 Twitter: https://bit.ly/DCTwitterIMCM📷 Instagram: https://bit.ly/DCInstagramIMCM💬 Discord: https://bit.ly/DCDiscordIMCM📞 Contato Profissional: comercial@agenciacurta.com,Gaming
